Log File,A Clock Speed,B Clock Speed,C Clock Speed,A Avg Jump,B Avg Jump,C Avg Jump,A Avg Queue Len,B Avg Queue Len,C Avg Queue Len
Run 1,6,2,1,1.0,2.9147286821705425,4.375,0.002617801047120419,0.19230769230769232,10.676923076923076
Run 1_166,1,6,6,3.15625,1.068241469816273,1.1023622047244095,30.907692307692308,0.007853403141361256,0.02356020942408377
Run 1_custom,1,3,6,3.765625,1.9114583333333333,1.0,15.584615384615384,0.06217616580310881,0.0026109660574412533
Run 1_small,3,2,2,1.0208333333333333,1.4806201550387597,1.5625,0.0,1.1923076923076923,1.2170542635658914
Run 2,4,3,3,1.0234375,1.3489583333333333,1.390625,0.0038910505836575876,0.05699481865284974,0.20725388601036268
Run 2_custom,3,2,2,1.0104166666666667,1.5116279069767442,1.5,0.0,0.046153846153846156,0.046511627906976744
Run 3,4,6,4,1.51171875,1.015748031496063,1.5390625,0.10894941634241245,0.007853403141361256,0.13618677042801555
Run 3_custom,3,2,2,1.0052083333333333,1.46875,1.46875,0.0051813471502590676,0.031007751937984496,0.015503875968992248
Run 4,5,4,6,1.2319749216300941,1.53125,1.0393700787401574,0.03125,0.08171206225680934,0.0
Run 5,5,1,2,1.0,4.359375,2.390625,0.003125,3.769230769230769,0.14728682170542637
Run 6,6,3,1,1.0,1.9791666666666667,3.984375,0.0,0.05181347150259067,15.63076923076923
Run 7,3,1,1,1.0,2.890625,2.984375,0.0,0.12307692307692308,0.24615384615384617
Run 8,3,4,4,1.421875,1.0703125,1.1137254901960785,0.10880829015544041,0.007782101167315175,0.01953125
Run 9,1,2,1,1.953125,1.0,1.9375,0.06153846153846154,0.007751937984496124,0.06153846153846154
